"palabra","positivo","negativo","sentimiento"
"cable calidad ofrece carga rápida original recomiendo totalmente u recomiendo producto",0,1,0
"cable funciona perfecto iphone problemas q presentan cable alternativos",1,0,1
"cable original longitud adecuada burno entrega tienda rápido u recomiendo producto",2,0,1
"cada día ma chicas camas rosen solo piensan espacios departamentos pareciera plaza",0,0,0
"cada dufffda optimizar tiempo producto fufffdcil usar limpiar utilizar ademufffds buena opciufffdn comer saludable incentivar hijos hacerlo recomiendo u recomiendo producto",5,0,1
"cada vez usaba salia olor plástico quemado maquina hacia poquito esfuerzo peor olor finalmente cuchillas soltaron encenderla giraban pésima compra",2,4,0
"cadera cintura pedi talla quedo súper bien tela gruesa quedan bonitos tiro alto u recomiendo producto",0,2,0
"caderas cintura compre talla quedo perfecto u recomiendo producto",1,0,1
"cajón gran espacio almacenamiento llevo menos dos meses instante compré colchón pasado noches horrorosas colchón marca vuelve forma horrible regalé plata",1,6,0
"cajón útil práctico cambios casa pq pesa puede desarmar colchón ergot mala calidad duró justo duraba garantía duermo resortes espalda",2,0,1
"calce bueno elásticados único malo destiñen rápido salir paso cumplen función u recomiendo producto",3,1,1
"calce bueno llenan pelusas",6,0,1
"calce justo buen estilo encantaron u recomiendo producto publicada originalmente adidascom",2,0,1
"calce perfecto color na q ver compre negro desteñido si usado etiqueta marcada tan desteñido q llego",1,4,0
"calce perfecto demasiado cómodos peguen pelusas guardo revés",2,0,1
"calce perfecto elasticado encantó u recomiendo producto",1,0,1
"calce perfecto súper cómodos llegó súper rápido volvería comprar tienda pantalones marca particular u recomiendo producto",2,0,1
"calcetines llegaron rápido buena calidad tamaño perfecto u recomiendo producto publicada originalmente reebokcom",1,0,1
"calidad audio mejores parlante tamaño suficiente volumen finalmente hace debas subirlo maximo ahi pierde bajos si recomiendo exteriores habitacion pequeña bien",1,1,0
"calidad buenísima cocción pareja regulador automático temperatura consume demasiada energía mejor valor excelente tres bbb u recomiendo producto",6,2,1
"calidad carece buenas terminaciones veladores cajonera riel uso dificulta uso expresado descripción",0,0,0
"calidad excelente mejor esperaba recomiendo u recomiendo producto publicada originalmente adidascom",1,0,1
"calidad excelente uso diario comida queda bien cocinada tamaño adecuado temperatura buena botones excelente calidad fácil limpiar guardar u recomiendo producto publicada originalmente falabellacomco",7,0,1
"calidad firmeza perten tener repador sueño u recomiendo producto",1,0,1
"calidad imagen increíble creo equipo iguale u recomiendo producto",0,0,0
"calidad inferior precio aunque oferta excesivo calidad tan baja",1,4,0
"calidad patas have buena",0,0,0
"calidad precio bien u recomiendo producto publicada originalmente reebokcom",0,0,0
"calidad precio punto justo trae dos vasos funciona bien conforme compra u recomiendo producto",1,0,1
"calidad sonido buena excelente si pones max potencia saturan bajos pierde calidad mayor problema volumen sube baja solo caulquier parte canción súper desagradable súper frustrado compra pediré devolución compra",4,7,0
"calidad sonido buenísimo oído crítico interesa suene bien cumple totalmente recomiendo seguridad",0,0,0
"calidad sonido sobresaliente bajo volumen aprecia profundidad bajos volumen alto distorsiona pierde calidad contento compra u recomiendo producto",2,2,0
"calidad tela mala lleno notas primer uso ademas dio tallas peor compra vida",0,2,0
"calienta rápido buena potencia cosas salen doraditas u recomiendo producto publicada originalmente sodimaccl",1,0,1
"caliento pan queda crujiente u recomiendo producto publicada originalmente sodimaccl",0,4,0
"calza bien dispositivos apple comprado falabellabuena elección ventas parte uds parte comprarlo u recomiendo producto",0,0,0
"calza perfecto cómodo lindo",2,0,1
"calza perfecto mido queda justo tobillo talla quedó perfecto tela suavecita malo venía cierre malo",3,1,1
"calza perfecto piezaes cómodo meses uso presentado ninguna falla u recomiendo producto",1,1,0
"calza perfecto talla encargué quedan lindos u recomiendo producto",1,0,1
"calzado buena terminación cómodo realizar run u recomiendo producto publicada originalmente adidascom",0,0,0
"calzado cómodo excelente notoria calidad fabricación volveré comprar marca u recomiendo producto publicada originalmente adidascom",1,0,1
"calzado comodo perfecto caminar acomoda todas edades u recomiendo producto publicada originalmente adidascom",1,0,1
"calzado estilo moderno comodo combinar u recomiendo producto publicada originalmente reebokcom",1,0,1
"calzado genus mucha comodidad iniciando tema deporte tanta tecnología aun así maneja perfecto salir correr cerca casa u recomiendo producto publicada originalmente adidascom",4,0,1
"calzado runinig inspirado actualizados estilo urbano capellada cuero tela suave flexible u recomiendo producto publicada originalmente reebokcom",2,0,1
"calzarlos rutinas trote esposa siente súper confortable siempre quiere usar motivo tocó regalarle astra run u recomiendo producto publicada originalmente adidascom",1,0,1
"calze perfecto compre talla menos quedo perfecto llego tiempo jeans u recomiendo producto",1,0,1
"calze perfecto talla tela elasticada hacen super cómodos u recomiendo producto",1,0,1
"calzó perfecto encantaron u recomiendo producto",1,0,1
"cama adicional cómoda afirmar ropa cama cae arriba excelente decir problema cama abajo",2,1,1
"cama alta cufffdmoda cama base tambiufffdn gustufffd principal ruedas anterior movufffda aufffdn ruedas bloqueadas conforme compra hice siempre espero mejor rosen u recomiendo producto",3,0,1
"cama alta relativamente cómoda aunque soporte inestable cruje inestabilidad cada movimiento cama baja incómoda fácil trasladar aspiraba tratándose rosen",0,3,0
"cama año ningún problema buena u recomiendo producto",0,1,0
"cama arriba problemas cama abajo undio solo mesesla cama abajo mala calidadno igual arriba",0,0,0
"cama base buena firme trae buen colchon duermo hijo bastante espacio cama auxiliar basica mala calidad cuanto estructura basto saltaran dos veces niños rompio maderos colchon bueno u recomiendo producto",7,0,1
"cama base firme colchon blando suave mejor invertir dinero tener buen descanso u recomiendo producto",3,0,1
"cama bastante alta muchísimo espacio ma pensé comoda u recomiendo producto",1,0,1
"cama bien producto demoró llegar meses llegó veladores quebrado pienso esperar dos meses tener solución",2,4,0
"cama blanca dura perfecta encanta recomiendo rosen demoraron misma instalarla quedo perfecta",0,0,0
"cama blanda confortable elegante fácil traslado u recomiendo producto",1,0,1
"cama bonita cómoda plumón almohadas rosen buena calidad veladores buen tamaño cama king despacho llegó día indicado trabajadores rosen dejaron armada además amables punto comprar cic natura fijé bien colchón rosen firme mejor calidad buena compra feliz u recomiendo producto",3,0,1
"cama bonito colchón siente firme costó días adaptarme parecía poquito duro acostumbré encanta u recomiendo producto",6,2,1
"cama buen tamaño colchón cómodo u recomiendo producto",0,0,0
"cama buena calidad buen diseño único negativo momento despacho entrega hogar repartidores dejan entrada según informado porrillos pueden dejarla pieza segundo piso ejemplo u recomiendo producto",4,2,1
"cama buena calidad cruje maderas soportan colchón mala calidad además llevo mes esperando llegue velador servicio atención cliente malísimo",1,4,0
"cama buena calidad ser base dividida ma facil adaptar espaciosel colchon confortable buen descanso",1,0,1
"cama buena calidad suavidad comodidad patas bien firme excelente producto marca rosen super conforme u recomiendo producto",5,0,1
"cama buena calidad velador mala calidad",0,0,0
"cama buena cómoda ocupa espacio funcional realmente salvaje maravilla u recomiendo producto",1,3,0
"cama buena cufffdmoda ocupa espacio funcional maravilla u recomiendo producto",1,0,1
"cama buena cumple expectativas recomendada",0,0,0
"cama buena enviaron pernos errados instalación patas solución usted compra perno lado retiramos traemos semana ma",0,0,0
"cama buena perfecto embalaje entrega según comprometido detalle soportes base perno rodado hacer trabajo mayor sacarlo",8,0,1
"cama buenas terminaciones colchón firme cómodoexcelente calidad u recomiendo producto",2,0,1
"cama buenísima alta firme fácil armar despacho ufff compré cyber day día agosto llegó octubre valió pena espera si excelente dato compré mil peso barata ahora u recomiendo producto",5,2,1
"cama colchón bien respaldo veladores material ligero importante saber veladores vienen totalmente desarmados respaldo viene ajustar perfectamente cama queda bien instalado móvil producto recomiendo",1,1,0
"cama colchón duro base tiende crujir acostarse",0,1,0
"cama comoda barata espero dure cama anterior solo duro años u recomiendo producto",0,1,0
"cama cómoda buen material base firme buen diseño excelente producto colchón firme vez entrega comodidad deseada buenas costuras armado base fácil recomiendo buen producto u recomiendo producto",6,1,1
"cama comoda buena calidad gran capacidad almacenaje ahorra espacio ideal espacios reducidos supero expectativas mejor ser rosen instalan gratuitamente feliz compra",2,0,1
"cama cómoda confortable u recomiendo producto",0,0,0
"cama cómoda diseño hermoso combina literal cualquier tipo habitación encantaron detalles trae base estilo elegante además colchón completamente blandito dan ganas levantarse enamorada cama rosen primera vez cama marca encantó recomiendo totalmente u recomiendo producto",4,0,1
"cama cómoda dura blanda duermo bien cada noche duele espalda colchón cálido tipo tela además hermosa u recomiendo producto",1,0,1
"cama comoda esquisita descansar u recomiendo producto",0,0,0
"cama cómoda firme buena calidad encanta",2,0,1
"cama comoda firme colchón suave hunde ideal salud espalda base linda discreta gatos encantó pasan día durmiendo dato cama suena gran plus u recomiendo producto",2,0,1
"cama cómoda firme recomiendo u recomiendo producto",2,0,1
"cama cómoda funcional especial optimizar espacios departamentos modernos",1,0,1
"cama cómoda hijo quedó conforme contento",1,0,1
"cama cómoda leí duro colchón hijos encantó nueva cama duermen cómodamente u recomiendo producto",0,1,0
"cama cómoda linda",0,0,0
"cama cómoda linda fácil armar además pesada recomiendo u recomiendo producto",0,0,0
"cama cómoda linda igual descripción único incomoda colchón adicional límite momento sacarlo interior cajón sale totalmente cajón si usa mueve colchón puede llegar cualquier parte",1,0,1
"cama cómoda liviana fácil transportar cama recomendable resistencia excelente material armado u recomiendo producto",4,2,1
"cama comoda llego tiempo indicado bien u recomiendo producto",0,0,0
"cama cómoda permite optimizar espacios conforme u recomiendo producto",0,0,0
"cama cómoda precio calidad gran opción quedamos satisfechos compra",0,0,0
"cama cómoda respaldo veladores lindos expectativas superadas contenta compra",0,0,0
"cama cómoda suficientemente dura blanda vez tener base alta facil limpiar colchón alto tener ojo sabanas normales quedan justo borde u recomiendo producto",2,2,0
"cama cómoda única salvedad ma alta mayoría camas u recomiendo producto",2,0,1
"cama cómoda único malo respaldo venían orificios correctos colocarlos así hacerlo quedo perfec u recomiendo producto",1,1,0
"cama cómoda vale pena inversión u recomiendo producto",0,1,0
"cama compre hace semana decir estupenda base bastante estable resistente have duradera tiempo alta acostumbrado ruedas bastante linda colchon comodo incluso persona hiper delicadas espalda cama buen respaldo queda maravillosa asegura buen dormir totalmente recomendable u recomiendo producto",5,1,1
"cama compre hija felices cama podemos guardar cosas cama hija quiera guardar baul amplio puedes guardar muchas cosas abrir cama cuesta facil abre rapido cama desarma ma si cosas cama juguetes encima caen abril baul encanto u recomiendo producto",3,0,1
"cama compré oferta pasado año medio usamos adoro confortable excelente descanso",2,0,1
"cama compre oferta sierta fecha salió buena u recomiendo producto",1,0,1
"cama confortable suabe hermoso diseñó ves firme recistente diseño acabado espectacular recomendable u recomiendo producto",3,0,1
"cama cufffdmoda llegaron materiales armarla comprarlos u recomiendo producto",0,0,0
"cama descanzo cómodo despertar agradable u recomiendo producto",5,0,1
"cama dos años colchón puso durísimo suena tiempo ademas súper hundido casi cuerpo marcado recomiendo rosen dejó ser",1,1,0
"cama dufffdas despertamos dolor espalda sufffd debe quiero da miedo comprar siga doliendo espalda",0,10,0
"cama dura cede días venía piquetes dio impresión colchón exhibición sucio roto puntos",1,3,0
"cama dura dos años sienten resortes dolor horribles espalda mejor invierta dinero busque mejor",1,7,0
"cama dura guié comentarios nadie dijo tan dura dormir piso recomiendo si cama llama ergo asocio ergonómica ver ergonómica estéticamente bonita buen materia cómoda confortable",0,0,0
"cama dura supone acostumbrarse colchón cuerpo mejoraría pasar meses cambiado suena primer día recomendable",10,0,1
"cama elegante colchón pésimo super duro devolver día pésimo pésima compra internet",1,1,0
"cama espectacular encantó llevo semana durmiendo realmente comoda duermo bien mejor inversión recomendada",0,0,0
"cama esperaba cómoda firme gustó",2,0,1
"cama estéticamente linda alta elegante firme dura mayormente recomendada persona superen kilo",3,0,1
"cama excelente",2,0,1
"cama excelente colchón blando suave problema aun guardar interior pesada permite deslizamiento ruedas suficientes peso toda cama problema cuesta abrir boxet sistema hidráulico rígido principio éste sonaba rechinaba moverse motivo pedí cambio ahora suena boxet sigue complicado moverla peso ocupo interior seria imposible moverla",7,4,1
"cama excelente recomiendo alta fácil armar ademas espuma superior colchón bastante cómoda u recomiendo producto",4,1,1
"cama exelente genial super comeda totalmente recomendable",2,0,1
"cama fácil armar colchón aceptable recomentacion recibir producto despacho revisar interior golpes traslado buen precio u recomiendo producto",6,0,1
"cama fácil armar tal have foto blanda tampoco incomoda aparenta ma confort imagen encontrar sabanas cobertores igual cuesta debido altura colchón",0,0,0
"cama fantastica espacio baúl bastante grande guardar muchas cosas mantener ordenada pieza además accesoriossabanas cobertor almohada bonitos feliz compra",4,0,1
"cama firme buen tamaño colchón cómodo excelente calidad u recomiendo producto",3,0,1
"cama firme buena calidad aunque colchón podría haber mejor creo bien precio u recomiendo producto",2,0,1
"cama firme buena calidad tamaño ideal dormitorio pequeño",2,0,1
"cama firme buena espalda además ser linda físicamente u recomiendo producto",2,0,1
"cama firme colchón duro demasiado",2,1,1
"cama firme dura duró años después murió todas cosas colchón hundió sentían resortes madera abajo dobló",2,0,1
"cama firme encantó general calidad muebles presiosos",3,0,1
"cama general cumple espectativas fitme alta colchón deja harto q desear to mes apareció protuverancia llamé flex ver cambio horrible atención nunca pude concretar cambio además colchón forma solo puede usar solo lado diferencia modelos q puede ir dando vuelta cada cierto tiempo mayor vida útil",5,6,0
"cama genial leído comentarios dura ojo firme dura base linda si buscas manual encuentras inmediatamente web armé sola cama destornillador mejor si taladro color colchón lindo amo alto quedan justas sábanas plaza así cobertores si quieres holgado puedes comprar king satisfecha compra u recomiendo producto",6,3,1
"cama hace año ningún problema base cama queda fija mueve segura firme recomiendo",2,1,1
"cama hace años maravillosa firme colchón delicioso alta encanta pues fácil limpiar debajo u recomiendo producto",6,0,1
"cama hace casi año nueva jamas hundido comoda buena relacion precio calidad u recomiendo producto",0,1,0
"cama ideal si gustan camas firmes unico detalle ver producto sino tiempos entrega eternos paso retrasos fecha u recomiendo producto",1,0,1
"cama igual descripción foto llego problemas perfecto",1,0,1
"cama igual imagen llego tiempo buenas condiciones",0,0,0
"cama linda colchón ergo t mala calidad cambiar veces buenos rosen hace problema falabella solo meses garantía luego desligan rosen sentido genial echo puede seguir cambiando veces necesario mismo modelo sigue sucediendo mismo favor asesorarse tema colchón",3,2,1
"cama linda colchón falla hundido extremadamente duro ademas suena demasiado",0,3,0
"cama linda estéticamente viene colchón pasa año hunde",0,0,0
"cama linda pude armar venían lor pernos tonillos poner patas camaquede deriva proyecto fin nunca darán solución",0,0,0
"cama llegó almohada velador malo derecho pasado semana entrega aún solución",2,1,1
"cama lujo total colchon parecido memory base lujo calidad cama compite balance par par recomendable cama compro dia noviembre debia llegar diciembre llego dia diciembre falabella siempre despachos buenos gratis si elite lujo cama digo",4,0,1
"cama ma grande esperaba estéticamente linda alta primera vez compro cama ortopédica debe claro colchón ma firme cosa acostumbrarse si espaldas necesitan",4,0,1
"cama maravillosa partida costó armarla fácil solo apernar patas parte colchón maravilloso cómodo despacho realmente increíble llegaron día acordado primera hora quedé feliz u recomiendo producto",10,0,1
"cama mes noviembre año pasadono lleva año hundido ladolamentablemente perdí boletas papeles garantía único bueno base q firme",5,1,1
"cama meses base sonido molestoal revisar garantufffda aparece sufffdlo colchufffdn garantufffda meses",1,0,1
"cama nido camas divan soporte colchon decir puede cambiar colchon",0,0,0
"cama pencaaaa duro menos tres meses mal despacho",0,5,0
"cama principio bien después empezó soltar lados menos año base rechina colchón sienten resortes",0,0,0
"cama recien comprada cruje acostarse meverse",0,0,0
"cama recomendable cómoda buena calidad estructura firme ademas permite guardar hartas cosas almohada plumón básicosel único sabanas dicen ser plaza sirven demasiado pequeñas entran colchon u recomiendo producto",7,0,1
"cama respaldo bonitos colchon duro palo base chilla primer día pediré devolución invertir cama drimpik",0,1,0
"cama rigida ende segundo piso pensarlo bien tener cuenta cabe ancha buenas persona rosen trataron todas formas posibles cayo proceso devolucion hermosa cama tener cuenta dimensiones caiga u recomiendo producto",1,0,1
"cama semi dura agradable conciliar elsueño amplia comoda recostado buena compra u recomiendo producto",4,0,1
"cama si firme colchufffdn recomiendo duro ufffdspero incufffdmodo",2,1,1
"cama si rica cómoda problema colchon abajo base notum foto menciona descripción producto puede hacer bien cama quedan colgando sábanas frazadas tener afirmarlas parte pie cama desarma entera ademas arrastrar sábanas frazadas enredan ruedas quedando sucias definitiva viendose siempre desordenado puen faldón colchon superior logra tapar cama abajo definitiva recomiendo producto uso habitual pues combiene si cama abajo quiere mantener hecha permanentemente uso",3,3,0
"cama simple cómoda u recomiendo producto",0,0,0
"cama sonidos madera vieja suelta chicharrea momento subirse peoducto nuevo deberia cn defecto llamare exigire garantia",0,4,0
"cama suena entera peor compra año",0,2,0
"cama sumamente cómoda buena calidad ideal hijos además buen precio",0,0,0
"cama súper alta malo pude patas sale indicado parte ubicarlas aún así queda alta colchón súper firme espero acostumbrarme resortes antiguo colchón marcados mejor suena",3,2,1
"cama super cómoda aunque cama nido bien pequeña rollaway buena calidad velador viene armado",1,1,0
"cama super cómoda entrega plazo contemplado u recomiendo producto",1,0,1
"cama súper cómodala base dividida ayuda instalación firme alta facilita hacer aseo mejor firmeza ayuda columna u recomiendo producto",6,0,1
"cama súper firme incluso pesada alta colchón almohadas buena calidad",2,0,1
"cama súper linda súper cómoda recomiendo u recomiendo producto",0,0,0
"cama tal describe colchón buenísimo patas base firmes u recomiendo producto",0,0,0
"camada cómoda eficiente segunda cama perfecto colchon sumamente cómodo",2,1,1
"camarote firme buena madera recomendable seguro niños u recomiendo producto",6,0,1
"camarote firme estufffdticamente lindo colchones buena calidad escalera parece ser endeble dufffd susto cada vez hija mayor kilo sube dormir cama arriba llevan reciufffdn dufffdas usufffdndolo momento va bien incomodo hacer camas demasiado alto colchones pesados buena calidad ufffdnico cambiarufffda altura bajarufffda cm u recomiendo producto",7,4,1
"camarote mufffds firme visto buena madera terminaciones armado desarmado usarlo camarote cama estufffd impecable colchones buena calidad cufffdmodos usado camas individuales recomendables pues alta madres duela espalda atendiendo hijos abajo pongo cajas plufffdstico juguetes zapatos camarote encanta alto pues duerme abajo siente apretado asfixiado encanta comprarufffd mufffd casa playa u recomiendo producto",6,4,1
"camas cómodas siempre prefiero precio calidad atención despacho buena siempre amables u recomiendo producto",0,0,0
"camas practicas ideales espacios reducidos baúl cabe problemas ropa invierno cama",0,0,0
"cambia televisión normal smart u recomiendo producto",0,0,0
"cambiado hervidor veces filtra agua indicador llenado demás buenas condiciones termómetro útil silencioso lindo modelo u recomiendo producto",2,0,1
"cambiado noches descanso compra producto dormía mal ahora compré colchón cic duermo bien levanto ánimo pues descaso mejor u recomiendo producto",0,8,0
"cambiamos duermo pésimopensé cosa costumbrepero llevo meses dolor espalda horrible dura cama recomiendo despacho impecable fecha horario",2,13,0
"cambiarlo venía golpeado problemas cambio u recomiendo producto",0,0,0
"cambié volvió fallar cero resistencia",1,1,0
"cambio comodidad dormir encantado cama u recomiendo producto",2,0,1
"cambio marca bose parlantes batería dura calidad excelente equipo viene cargador problema entrada carga misma celular puede ocupar problemas u recomiendo producto",3,2,1
"cambio marca recco resumen aun recco poca fuerza mala calidad piezas alcanzó durar meses",1,1,0
"capacidad litros recomendable persona compre adicta papa fritas necesitaba disminuir consumo grasas recomendado papa nugget pollo etc puede hacer aquí muchísimo saludable necesita echar aceite mejor cocina queda pasada fritura",7,2,1
"carga olor frito maquina puedo hacer papa fritas desagradable olor pollo queda magnifico tambien carne jugosa puse estrellas pequeña dos persona alcanza u recomiendo producto",2,6,0
"carga rapido ahora valor elevado u recomiendo producto",2,1,1
"carga rápido grueso totalmente compatible principio cargan bien después unas semanas empieza celular dar mensaje dispositivo compatible u recomiendo producto",1,1,0
"carga rápido incluso conectado computados cumple función u recomiendo producto",0,1,0
"carga súper rápido literal encontré justo necesitaba mismo día quedado cable iphone u recomiendo producto",1,1,0
"cargador original excelente calidad duradero confiable u recomiendo producto",2,0,1
"caro",0,1,0
"caro abdcin",0,1,0
"caro chromecast barato antigüedad",1,2,0
"caro compre lukas gb oferta si mato abuso confianza applelover",2,2,0
"casa ocupamos hacer mayonesa harina avena producto versátil buena calidad u recomiendo producto",2,0,1
"caso cuatro tasas harina transforma pequeño pan receta tal fiasco",0,3,0
"caso hice pan queque etc según recetario trae maquina si desea pan dimensiones bueno usar proceso completo caso solo programo haga masa min preparo ir horno cocina hecho dobladitas pan frances etc quedado genial min pane según cuanto quiera ahorro esfuerzo maquina hace cocina arte paciencia cariño sale genial u recomiendo producto",11,2,1
"caso redecorar cambiar excelente colchón estupendo base firme ruidos u recomiendo producto",3,1,1
"celeste lindo comodo pedi negro quedo justo apretado cambiarlo asique recomiendo pedir talla ma color negro u recomiendo producto",3,3,0
"celeste tela rígida da elasticado si rígido pone si si elásticado pone u recomiendo producto",2,0,1
"cero fallas rápida recomendado bastante u recomiendo producto",1,0,1
"cero problemas u recomiendo producto",0,0,0
"chantas subieron precio productos intenté comprarla ayer pude arrojaba dirección hoy volví intentar subieron precio u recomiendo producto",0,0,0
"chicas compren celeste mejor negro blanco pegan pelusas tallas normales solo talla qdara olgada modelo super elastcado tela ma bien suave tan delgada transparenta dobles puede bajar qda largo modelo lindo solo q debiera ser mejor calidad teja negro blanco si así recomendado u recomiendo producto",10,8,1
"chicas jeans hermoso compren talla normal pedí primero azul talla habitual quedo perfecto mom jeans sueltecito pedí ahora negro comentarios queda ajustado jeans normalsi quieren mom recomiendo comprar talla habitual u recomiendo producto",2,6,0
"chicas miren explico dicen escoger talla estilo mom queda apretado abajo aconsejo pidan talla menos ejemplo si pedir aunque parte abajo siga quedando ma suelto have bien asi estilo queda feo parte abdomen notum queda grande asique consideren si si recomiendo almenos talla menos deje guiar decian pidiera talla quedo raro abdomen color compre blanco u recomiendo producto",6,4,1
"chicas recomiendo azul lindo normalmente talla pedí quedó perfecto viene dobles puedes bajar queda largo llegó tiempo color tal foto así anímense super lindo u recomiendo producto",6,2,1
"chicas recomiendo comprar talla menos pedí talla normal quedaron grandes ir cambiarlos hermosos si ven mom u recomiendo producto",0,0,0
"chicas talla adecuada calce bonito además recomiendo completamente u recomiendo producto",2,0,1
"chico ultra delgado elasticado",1,0,1
"chile cuarentena pongan prendas despacho quiero pantalones puedo pedirlos",0,0,0
"chiquito potente u recomiendo producto",1,0,1
"cierto touch id encanta resto ideal trabajo clases u recomiendo producto",3,0,1
"cierto trae enchufe cable notum firme bueno parlante v usé enchufe celular cargó perfecto palabras problema sobretodo si enchufe pagar hacerme enchufe colección si bien pequeño sonido excelente nítido buenos bajos escucha bien lejos pesado cerca criticar marca die recomendado quedé absolutamente satisfecha compra",9,5,1
"cintura cadera quedó cómodo talla talla trituraba cintura general sólo cómodo jeans resalte estético hecho veo ancha menos delgada hacen ver jeans elasticado tela gruesa rodillas hacia abajo anchos jeans maravilloso describen exageradamente comentarios",5,0,1
"cmr mil s quisier saber si posible ampliar cupo compar macbook u recomiendo producto",1,0,1
"cocina implemento ideal uso espectacular",0,0,0
"cocina mama u recomiendo producto publicada originalmente sodimaccl",0,0,0
"cocinar comer u recomiendo producto publicada originalmente sodimaccl",1,0,1
"cocine pan gustó u recomiendo producto publicada originalmente sodimaccl",0,1,0
"cocino pequeña actualmente acomodo primera casa pareja horno funcionado excelente hago pan todas semanas queda excelente caro quedan punto si sigues instrucciones temperaturas tiempos recomendados brownie tortas quedado perfectamente horneados húmedos lado hacer horneadas pan mes caro pescado par cosillas dulces consumo energía eléctrica aumentó sólo mil peso mamá horno años funcionado perfecto creo comentarios negativos leer instrucciones consiguiente uso apropiado producto debe tener espacio respirar vez dejarlo conectado corriente apagas ventilador haga trabajo u recomiendo producto",20,6,1
"coincide características señaladassúper bien",0,0,0
"colchón agradable lamentablemente pequeño base cama medida cama plaza rellenar l cabecera cama almohadas completara medida pude cambiarlo esperas producto eternas",8,0,1
"colchón alto firme primeras noches luego semanas cuerpos marcados hundidos solicité devolución",2,1,1
"colchón base bien compre decía traería dos ruedas dos patas momento llegar recibí cuatro patas metálicas respaldo bonito inestable queda apariencia quedara suelto",0,4,0
"colchón base firme llevo semana encanta u recomiendo producto",4,0,1
"colchón básico mide centímetros espesor precio cama podria ser mayor espesor además envió demoró mes",2,0,1
"colchón bastante cómodo solo recomiendo comprarlo tienda tiempos envío falabella pueden superar mes atraso responden ningún medio momento reclamar",8,0,1
"colchón buena calidad general cómodo fácil instalar",1,0,1
"colchon buena calidad recomendado comodo tal have especifica u recomiendo producto",0,0,0
"colchón buena calidad telas buenas firme seguramente durará años duro pensé blando general conforme compra u recomiendo producto",3,1,1
"colchón buena densidad relación precio calidad bueno bien embalado único negativo compra despacho programado mes u recomiendo producto",3,1,1
"colchon buena relacion preciocalidad llego despacho dia acordado u recomiendo producto",0,0,0
"colchón buenas terminaciones buena calidad sufre deformaciones estructura habla bien malla resortes conforme u recomiendo producto",1,0,1
"colchón bueno cumple condiciones base divida marca recomiendo une solo través respaldo cama moverla hace dificultoso base separan igual hace falta base ahí mismo",3,2,1
"colchón bueno gran compra cómodo descansa bastante bien",4,0,1
"colchón bueno tan cómodo esperaba quizas cosa acostumbrarse venía regalo dos almohadas nunca llegaron",8,0,1
"colchón calidad medialo compre hace meses sienten resortes recomiendo base box si alta calidad",0,0,0
"colchón carton pesima calidad",0,0,0
"colchón cómodo abajo fácil sacar útil habitación pequeña",0,0,0
"colchón cómodo blando hunde bien alto despacho llegó tiempo comprometido u recomiendo producto",1,1,0
"colchón cómodo buena altura cama larga ocupa espacio angosta u recomiendo producto",0,0,0
"colchón cómodo cama alta quedando fácil limpiar debajo u recomiendo producto",1,0,1
"colchon cómodo feliz compraera esperado",2,0,1
"colchón cómodo firme buena textura excelente calidad u recomiendo producto",6,0,1
"colchón cómodo firme ser liviano u recomiendo producto",4,0,1
"colchón cómodo llegó día señalado falabella puntuales preocupados u recomiendo producto",0,0,0
"colchón cómodo terminaron dolor espalda compre enncyber monday mejor desicion u recomiendo producto",0,14,0
"colchon comodo vale pena u recomiendo producto",0,2,0
"colchón confortable resistente calidad fuerte suave vez u recomiendo producto",2,1,1
"colchón construido gran calidad materiales ofrecen comodidad dormir u recomiendo producto",1,0,1
"colchón cumple die sufro dolor espalda colchón buen dormir u recomiendo producto",0,14,0
"colchón cumple prometido duro duerme increíble u recomiendo producto",0,1,0
"colchón cumple todas espectativas bueno cómodo espectacular u recomiendo producto",6,0,1
"colchon cumplir todas expectativas",1,0,1
"colchon desliza queda fijo resortes moverme escucho duermo solo peso ma kilo incomoda",4,2,1
"colchón después tiempo logre descansar genus confort buen descanso u recomiendo producto",0,0,0
"colchón durisimo llevo par meses usándola diario despierto dolor espalda definitivamente sirve si persona pequeña peso kilo siento duermo suelo grandes sienten cómoda",3,9,0
"colchon duro acostarse da sensacion bordes desnivel si caer detalles vista perciben hace meses usa hijo años verdad di cuenta poder cambiarlo recomiendo producto compre internet cuarentena decepcionada",1,3,0
"colchón duro después meses dolor espaldas recién acostumbrando",0,8,0
"colchón duro dormir espaldas bueno dormir posición fetal bastante incomodo colchón hecho espalda niños salten u recomiendo producto",4,1,1
"colchón duro dormir tabla pésimo recomiendo",0,1,0
"colchón duro llevo dos noches usándolo duele fatal espalda pasé malas noches recomiendo",0,4,0
"colchón duró menos meses sienten resortes pésima compra",0,0,0
"colchon duro probe tienda distinto nuevo",1,1,0
"colchon duró siquiera año rotaba continuamente cuidarlo pesimo producto compramos pensando rosen bueno",3,0,1
"colchón duro siquiera dan ganas quedarse acostado sentado cama",0,2,0
"colchón duró suerte meses comenzó hundirse recomiendo",1,0,1
"colchón duro usado día noches podido dormir bien ninguna duele espalda",0,4,0
"colchon equivalente calidadprecio u recomiendo producto",0,0,0
"colchón excelente base fiasco cruje demasiado mala calidad unión plástica duró rompió plásticos van orilla have base salieron horrible decisión comprar base dividida",2,14,0
"colchón excelente calidad producto general bueno",5,0,1
"colchon firme blando vez ideal etapa crecimiento niños u recomiendo producto",3,0,1
